buyDate,sellDate,code,name,mode,returnPct,xcjw,cjs,jsjl,openPctChange,reason,droppedModes,regime,isMainLine,isBigCap,adaptiveActive,adaptiveReason,holdDays,exitKind
2025-06-16,2025-06-17,603787.XSHG,新日股份,绿断低吸,-2.0000000000000018,220.75,48.28,0.0,-5.03,绿断 + 低吸有分 + 竞王达标,,,,False,False,Tier3 20d 兜底: avg=-5.14%≤-1% n=11 (5d/10d 数据不足),1,max_dd_stop
2025-06-17,2025-06-18,300872.XSHE,天阳科技,接力低弱转2,-2.000000000000013,290.17,0.0,163.41,3.66,高开弱转强 + 昨日连板 + 竞王达标,,,False,False,False,excluded by --exclude-modes: 接力低弱转2; Tier2 5d 单窗口保守: avg=-9.32%≤-4% n=1 (10d n<2),1,max_dd_stop
2025-06-18,2025-06-20,002951.XSHE,金时科技,绿断低吸,9.865470852017921,232.87,76.67,0.0,-10.32,绿断 + 低吸有分 + 竞王达标,方向内绿盘低吸前3名,,False,False,False,Tier2 5d 单窗口保守: avg=-6.81%≤-4% n=1 (10d n<2),2,max_dd_stop
2025-06-18,2025-06-20,300875.XSHE,捷强装备,红断低吸,25.301127214170684,232.41,21.95,0.0,-1.07,红断 + 低吸有分 + 竞王达标,,,False,False,False,"Tier4 dormant: 20 个交易日样本不足 (n5=0/n10=0/n20=2, 需 1/2/3)",2,max_dd_stop
2025-06-18,2025-06-19,600792.XSHG,云煤能源,方向内绿盘低吸前3名,-2.0000000000000018,489.61,216.27,0.0,-5.99,方向内低吸排名2 + 绿断 + 低吸有分,,,False,False,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier2 10d 单窗口正向 (avg=+8.39% > -4%),1,max_dd_stop
2025-06-19,2025-06-20,300903.XSHE,科翔股份,接力低弱转1,-2.0000000000000018,328.81,0.0,157.63,3.48,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,True,Tier1 双窗口未一致: 5d avg=+3.93% / 10d avg=+1.50% (阈值 -6%/-4%),1,max_dd_stop
2025-06-20,2025-06-24,301292.XSHE,海科新源,接力低弱转1,24.087323943661954,827.34,0.0,995.92,8.67,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,False,Tier1 双窗口未一致: 5d avg=+0.61% / 10d avg=+1.32% (阈值 -6%/-3%); openPctChange ≥ 6.0% (chasing high open),2,max_dd_stop
2025-06-20,2025-06-24,300483.XSHE,首华燃气,接力低弱转1,16.11705924339757,449.12,0.0,165.15,4.71,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,True,Tier1 双窗口未一致: 5d avg=+0.61% / 10d avg=+1.32% (阈值 -6%/-3%),2,max_dd_stop
2025-06-20,2025-06-24,603151.XSHG,邦基科技,绿断低吸,5.9486652977412735,200.59,13.27,0.0,-1.12,绿断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=-2.10% / 10d avg=-2.10% (阈值 -4%/-2%),2,max_dd_stop
2025-06-23,2025-06-25,600794.XSHG,保税科技,接力低弱转1,14.59999999999999,414.91,0.0,62.77,2.94,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,True,True,Tier1 双窗口未一致: 5d avg=+9.90% / 10d avg=+3.30% (阈值 -7%/-4%),2,max_dd_stop
2025-06-24,2025-06-26,603120.XSHG,肯特催化,首红断低吸,0.8583333333333387,199.07,12.66,0.0,-0.68,首红断 + 低吸有分 + 竞王达标,,,False,False,False,"Tier4 dormant: 20 个交易日样本不足 (n5=0/n10=1/n20=1, 需 1/2/3)",2,max_dd_stop
