buyDate,sellDate,code,name,mode,returnPct,xcjw,xcjwV2,jsjl,jsjlTest,jssb,jssbV2,jssbTest,cjs,cjsV2,cjsTest,relaxCjs,directionCjs,directionCjsV2,dwcjs,realCjs,realJssb,openPctChangeRate,entityPctChangeRate,pctChangeRate,isWeak,ylimitupdays,limitupdays,firstLimitUpDays,isBottom,isLow,isMeso,isMedium,isHigh,isHighest,isHalf,isGestationLine,isSmallHighOpen,isMiddleHighOpen,isLargeHighOpen,isSmallLowOpen,isMiddleLowOpen,isLargeLowOpen,isStrengthHigh,isStrengthMiddle,isStrengthLow,isStrengthIncrease,isStrengthReduct,shortLineScore,shortLineScoreChange,trendGroup,trendBack,trendStart,trendGroup10,mainStart,mainFrequent,limitupGene,isWinner,marketValue,circulationMarketValue,atraderate10d,atraderate30d,cgykValue,htykValue,minuteCgykValue,minuteHtykValue,position,finalPosition,openPosition,realPosition
2026-03-25,2026-03-26,002316.XSHE,亚联发展,接力低弱转2,1.2987012987013102,240.75,214.0,45.35,136.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,1.86,5.579999923706055,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-113.75,34.03,0,0,0,0,0,0,1,0,1836561650.0,1870635072.01,-4.52,-1.08,,0.0055,,0.0037,,,,
2026-03-30,2026-03-31,603687.XSHG,大胜达,N字低吸,3.6882393876130903,338.77,301.12800000000004,0.0,0.0,0.0,0.0,0.0,210.82,210.82,485.2,210.82,210.82,48520.223,0.0,210.82,0.0,-8.06,12.18,3.140000104904175,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,6.46,-173.25,0,0,0,0,0,1,1,0,7903957885.679999,8866514109.29,62.01,42.65,0.1409,0.0288,0.1458,0.0307,,,,
2026-03-31,2026-04-01,603387.XSHG,基蛋生物,首红断低吸,4.72906403940887,152.97,135.976,0.0,0.0,0.0,0.0,0.0,2.34,2.34,4.68,2.34,9.37,1875.4991999999995,0.0,2.34,0.0,-0.59,-1.28,-1.8600000143051147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,153.21,-2.96,0,0,0,0,0,0,1,0,5147608197.55,5081678472.5,6.14,13.86,-0.003,,-0.002,,,,,
2026-04-02,2026-04-03,002788.XSHE,鹭燕医药,首红断低吸,9.888059701492558,133.11,118.32000000000001,0.0,0.0,0.0,0.0,0.0,22.15,22.15,37.69,22.15,155.16,26398.922399999996,0.0,22.15,0.0,-3.71,5.97,2.0399999618530273,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,147.7,5.56,0,0,0,0,1,0,1,0,6139244320.079999,6506326175.89,21.98,8.4,0.0806,0.0416,0.0738,0.0403,,,,
2026-04-03,2026-04-07,002038.XSHE,双鹭药业,接力低弱转1,0.0,387.22,344.20000000000005,14.97,38.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,4.42,5.03000020980835,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,183.18,8.67,0,0,0,0,0,0,1,1,7326455833.4,7650182561.64,54.03,38.79,,0.0358,,-0.0089,,,,
2026-04-03,2026-04-07,603222.XSHG,济民健康,接力低弱转1,10.05859375,487.12,614.5120000000001,17.13,32.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,2.25,3.1500000953674316,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,151.64,71.26,0,0,0,0,0,0,1,1,5376927897.6,5497698879.26,20.48,17.11,0.0377,0.0077,0.0398,0.0097,,,,
2026-04-08,2026-04-09,002840.XSHE,华统股份,接力低弱转2,-1.6666666666666607,219.75,230.42399999999998,17.45,40.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,-1.14,0.8500000238418579,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,174.89,96.97,0,0,0,0,0,0,1,1,10515521636.4,10396027224.3,22.31,32.35,0.0172,,0.0148,,,,,
2026-04-14,2026-04-15,000988.XSHE,华工科技,孕线低吸,-6.4166666666666705,422.28,438.824,0.0,0.0,0.0,0.0,0.0,104.08,104.08,249.92,104.08,520.62,125011.27440000001,0.0,104.08,0.0,-4.12,0.52,-3.619999885559082,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,131.96,16.83,0,0,1,0,0,0,0,0,120598278840.0,121231417043.63,12.79,27.02,0.0196,,0.018,-0.0011,,,,
2026-04-15,2026-04-16,000967.XSHE,盈峰环境,接力低弱转2,7.307060755336625,203.67,279.512,33.71,94.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,-2.46,1.6299999952316284,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,186.5,6.2,0,0,0,0,0,0,1,1,38554876877.58,37605249730.53,39.6,46.31,0.0034,,0.0189,,,,,
2026-04-15,2026-04-16,002157.XSHE,正邦科技,接力低弱转2,-3.3898305084745783,213.67,285.12,12.08,33.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,-1.13,0.28999999165534973,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,145.25,85.64,0,0,0,0,0,0,1,1,25609259892.78,25319889724.5,15.13,11.11,0.0029,,0.0,,,,,
2026-04-15,2026-04-16,600654.XSHG,中安科,首红断低吸,4.0000000000000036,159.1,141.41600000000003,0.0,0.0,0.0,0.0,0.0,3.38,3.38,9.47,3.38,3.38,947.0083999999999,0.0,3.38,0.0,-0.44,-2.0,-2.430000066757202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,86.16,-68.31,0,0,0,0,0,0,1,0,10428443203.5,10219873985.82,31.64,27.83,-0.0157,,-0.0179,,,,,
2026-04-16,2026-04-17,000788.XSHE,北大医药,接力低弱转1,-5.21739130434783,343.6,305.424,38.88,70.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,-3.48,-1.6200000047683716,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,76.35,134.86,0,0,0,0,0,0,1,0,4112313232.5,3969276159.56,1.52,13.42,-0.0264,,-0.0292,,,,,
2026-04-16,2026-04-17,000788.XSHE,北大医药,接力低弱转2,-5.21739130434783,343.6,305.424,38.88,70.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,-3.48,-1.6200000047683716,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,76.35,134.86,0,0,0,0,0,0,1,0,4112313232.5,3969276159.56,1.52,13.42,-0.0264,,-0.0292,,,,,
2026-04-17,2026-04-20,603220.XSHG,中贝通信,接力低弱转2,-5.159705159705174,193.73,172.208,23.7,64.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,-0.98,0.9700000286102295,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,172.99,58.55,0,0,0,0,0,0,1,1,14139540569.44,14000577754.65,30.53,25.01,0.0038,,0.0016,,,,,
2026-04-17,2026-04-20,300736.XSHE,百邦科技,接力低弱转1,10.549717057396935,322.06,408.968,105.61,200.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,-0.53,3.490000009536743,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,164.52,223.15,0,0,0,0,0,0,1,1,3094633503.3799996,3078372368.92,12.89,17.25,0.0029,-0.0117,0.0029,-0.0085,,,,
2026-04-17,2026-04-20,300736.XSHE,百邦科技,接力低弱转2,10.549717057396935,322.06,408.968,105.61,200.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,-0.53,3.490000009536743,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,164.52,223.15,0,0,0,0,0,0,1,1,3094633503.3799996,3078372368.92,12.89,17.25,0.0029,-0.0117,0.0029,-0.0085,,,,
2026-04-23,2026-04-24,001234.XSHE,泰慕士,接力低弱转1,19.9530516431925,511.16,738.336,17.78,44.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,9.05,10.010000228881836,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,114.38,105.68,0,0,0,0,0,0,1,0,2728097610.0,2975108501.88,27.13,6.8,,0.067,,,,,,
