buyDate,sellDate,code,name,mode,returnPct,xcjw,cjs,jsjl,openPctChange,reason,droppedModes,regime,isMainLine,isBigCap,adaptiveActive,adaptiveReason
2025-12-01,2025-12-02,001387.XSHE,雪祺电气,方向内绿盘低吸前3名,4.681139755766628,544.78,423.42,0.0,-3.66,方向内低吸排名2 + 绿断 + 低吸有分,,,,False,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier1 双窗口未一致: 5d avg=+5.50% / 10d avg=+4.92% (阈值 -7%/-5%)
2025-12-02,2025-12-03,600828.XSHG,茂业商业,方向内绿盘低吸前3名,5.945945945945952,1257.51,1469.79,0.0,-6.57,方向内低吸排名2 + 绿断 + 低吸有分,,,,True,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier1 双窗口未一致: 5d avg=+2.83% / 10d avg=+5.33% (阈值 -9%/-5%)
2025-12-02,2025-12-03,002474.XSHE,榕基软件,红盘起爆主攻,-6.999999999999995,341.69,0.0,0.0,7.33,高分起爆 + 红盘 + 涨幅可控,,,,False,False,"Tier4 dormant: 20 个交易日样本不足 (n5=0/n10=0/n20=0, 需 1/2/3); openPctChange ≥ 6.0% (chasing high open)"
2025-12-03,2025-12-04,000735.XSHE,罗牛山,接力低弱转1,-8.50840336134453,382.66,0.0,32.49,2.15,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,,False,True,Tier3 20d 兜底正向 (avg=-1.69% > -3%)
2025-12-03,2025-12-04,601500.XSHG,通用股份,接力低弱转1,-4.948453608247405,302.76,0.0,40.78,3.41,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,,True,True,Tier3 20d 兜底正向 (avg=-1.69% > -3%)
2025-12-03,2025-12-04,600868.XSHG,梅雁吉祥,绿断低吸,-9.660574412532641,143.33,3.6,0.0,-0.52,绿断 + 低吸有分 + 竞王达标,,,,True,True,Tier2 10d 单窗口正向 (avg=+1.95% > -2%)
2025-12-04,2025-12-05,002682.XSHE,龙洲股份,接力低弱转1,14.20289855072463,699.51,0.0,270.23,5.99,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,True,Tier1 双窗口未一致: 5d avg=-6.73% / 10d avg=-6.73% (阈值 -7%/-4%)
2025-12-04,2025-12-05,000735.XSHE,罗牛山,首红断低吸,-2.444208289054206,217.69,31.58,0.0,-2.79,首红断 + 低吸有分 + 竞王达标,,,False,False,False,Tier1 双窗口确认: 5d avg=-4.49%≤-4% AND 10d avg=-3.24%≤-2% (n=1/5)
2025-12-04,2025-12-05,002474.XSHE,榕基软件,N字低吸,-2.9602220166512483,222.02,78.73,0.0,-3.14,强方向 + N字半位 + 低吸有分,,,False,False,True,Tier1 双窗口未一致: 5d avg=+5.47% / 10d avg=+5.56% (阈值 -8%/-5%)
2025-12-04,2025-12-05,002792.XSHE,通宇通讯,方向内绿盘低吸前3名,6.891548784911139,290.77,94.0,0.0,-1.71,方向内低吸排名1 + 绿断 + 低吸有分,,,False,False,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier1 双窗口未一致: 5d avg=+5.61% / 10d avg=+5.44% (阈值 -9%/-6%)
