date,blockCode,score,scoreChangePre,scoreChange,dataType,industryType,isTrack,isPpp
2024-10-24,980379.ZHBK,17.73,-35.47,0.0,2,1,0,0
2024-10-23,980363.ZHBK,501.5,382.33,4.97,2,1,0,0
2024-10-23,980474.ZHBK,366.98,-130.16,7.23,2,1,0,0
2024-10-23,980352.ZHBK,304.69,-101.56,0.0,2,1,0,0
2024-10-23,980475.ZHBK,300.78,-214.85,0.0,2,1,0,0
2024-10-23,980372.ZHBK,290.35,-194.4,2.53,2,1,0,0
2024-10-23,980368.ZHBK,280.3,-184.2,0.0,2,1,0,0
2024-10-23,980364.ZHBK,276.68,-150.92,5.59,2,1,0,0
2024-10-23,980376.ZHBK,269.93,109.97,0.0,2,0,0,0
2024-10-23,980338.ZHBK,268.74,-61.43,-7.68,2,1,0,0
2024-10-23,980362.ZHBK,265.1,-243.01,12.63,2,1,0,0
2024-10-23,980750.ZHBK,261.24,-327.93,16.68,2,1,0,0
2024-10-23,980339.ZHBK,235.76,-198.26,5.35,2,1,0,0
2024-10-23,980336.ZHBK,226.49,-270.04,13.07,2,1,0,0
2024-10-23,980476.ZHBK,212.8,-202.16,-5.32,2,1,0,0
2024-10-23,980358.ZHBK,212.8,-159.6,0.0,2,1,0,0
2024-10-23,980374.ZHBK,211.98,-252.09,5.73,2,0,0,0
2024-10-23,980343.ZHBK,211.93,-115.06,0.0,2,0,0,0
2024-10-23,980365.ZHBK,203.77,-174.49,2.35,2,1,0,0
2024-10-23,980335.ZHBK,203.13,-110.02,-8.46,2,1,0,0
2024-10-23,980366.ZHBK,196.1,89.13,5.94,2,0,0,0
2024-10-23,980353.ZHBK,191.52,-255.36,21.28,2,0,0,0
2024-10-23,980373.ZHBK,186.2,-305.37,7.45,2,1,0,0
2024-10-23,980346.ZHBK,182.06,-182.06,-8.28,2,1,0,0
2024-10-23,980753.ZHBK,177.09,24.31,5.21,2,0,0,0
2024-10-23,980345.ZHBK,175.66,-284.57,3.51,2,0,0,0
2024-10-23,980756.ZHBK,171.3,-163.86,-7.45,2,1,0,0
2024-10-23,980378.ZHBK,132.57,-338.14,10.42,2,1,0,0
2024-10-23,980357.ZHBK,128.08,-77.96,2.79,2,0,0,0
2024-10-23,980371.ZHBK,125.18,-500.7,-6.26,2,1,0,0
2024-10-23,980360.ZHBK,120.37,-30.09,7.52,2,1,0,0
2024-10-23,980477.ZHBK,112.85,-451.39,0.0,2,1,0,0
2024-10-23,980473.ZHBK,94.17,-239.71,-17.12,2,1,0,0
2024-10-23,980341.ZHBK,84.64,-11.28,0.0,2,1,0,0
2024-10-23,980355.ZHBK,70.4,-400.2,-3.71,2,0,0,0
2024-10-23,980351.ZHBK,67.71,-203.13,0.0,2,1,0,0
2024-10-23,980340.ZHBK,62.07,-310.33,-62.06,2,0,0,0
2024-10-23,980379.ZHBK,53.2,35.47,0.0,2,1,0,0
2024-10-23,980348.ZHBK,21.28,-574.56,-10.64,2,0,0,0
2024-10-22,980371.ZHBK,625.88,325.46,6.26,2,1,0,0
2024-10-22,980348.ZHBK,595.84,85.12,0.0,2,0,0,0
2024-10-22,980750.ZHBK,589.17,505.8,27.79,2,1,0,0
2024-10-22,980477.ZHBK,564.24,361.11,-22.57,2,1,0,0
2024-10-22,980475.ZHBK,515.63,257.81,14.32,2,1,0,0
2024-10-22,980362.ZHBK,508.11,299.82,18.94,2,1,0,0
2024-10-22,980474.ZHBK,497.14,34.35,7.24,2,1,0,0
2024-10-22,980336.ZHBK,496.53,283.11,17.42,2,1,0,0
2024-10-22,980373.ZHBK,491.57,208.55,11.17,2,1,0,0
2024-10-22,980372.ZHBK,484.75,181.78,2.52,2,1,0,0
2024-10-22,980378.ZHBK,470.71,129.59,7.44,2,1,0,0
2024-10-22,980355.ZHBK,470.6,-14.82,0.0,2,0,0,0
2024-10-22,980368.ZHBK,464.5,216.23,0.0,2,1,0,0
2024-10-22,980374.ZHBK,464.07,211.98,17.19,2,0,0,0
2024-10-22,980345.ZHBK,460.23,193.23,14.05,2,0,0,0
2024-10-22,980353.ZHBK,446.88,74.48,10.64,2,0,0,0
2024-10-22,980339.ZHBK,434.02,214.33,26.79,2,1,0,0
2024-10-22,980364.ZHBK,427.6,69.87,11.18,2,1,0,0
2024-10-22,980476.ZHBK,414.96,69.16,26.6,2,1,0,0
2024-10-22,980352.ZHBK,406.25,152.34,33.85,2,1,0,0
2024-10-22,980365.ZHBK,378.26,-64.4,8.2,2,1,0,0
2024-10-22,980340.ZHBK,372.4,-124.13,0.0,2,0,0,0
2024-10-22,980358.ZHBK,372.4,234.08,21.28,2,1,0,0
2024-10-22,980346.ZHBK,364.12,-8.28,-8.28,2,1,0,0
2024-10-22,980756.ZHBK,335.16,-29.79,-7.45,2,1,0,0
2024-10-22,980473.ZHBK,333.88,-222.58,-8.56,2,1,0,0
2024-10-22,980338.ZHBK,330.17,-34.55,26.88,2,1,0,0
2024-10-22,980343.ZHBK,326.99,-217.99,6.06,2,0,0,0
2024-10-22,980335.ZHBK,313.15,8.46,16.92,2,1,0,0
2024-10-22,980351.ZHBK,270.84,-406.25,-67.71,2,1,0,0
2024-10-22,980357.ZHBK,206.04,-342.47,8.35,2,0,0,0
2024-10-22,980376.ZHBK,159.96,-439.88,0.0,2,0,0,0
2024-10-22,980753.ZHBK,152.78,-414.93,1.74,2,0,0,0
2024-10-22,980360.ZHBK,150.46,52.66,0.0,2,1,0,0
2024-10-22,980363.ZHBK,119.17,-571.01,0.0,2,1,0,0
2024-10-22,980366.ZHBK,106.97,-457.57,1.98,2,0,0,0
2024-10-22,980341.ZHBK,95.92,28.21,0.0,2,1,0,0
2024-10-22,980379.ZHBK,17.73,0.0,0.0,2,1,0,0
2024-10-21,980363.ZHBK,690.18,9.93,4.96,2,1,0,0
2024-10-21,980351.ZHBK,677.09,67.71,0.0,2,1,0,0
2024-10-21,980376.ZHBK,599.84,-59.98,-10.0,2,0,0,0
2024-10-21,980753.ZHBK,567.71,-79.64,-6.95,2,0,0,0
2024-10-21,980366.ZHBK,564.54,-98.83,-3.96,2,0,0,0
2024-10-21,980473.ZHBK,556.46,8.56,8.56,2,1,0,0
2024-10-21,980357.ZHBK,548.51,-158.7,6.96,2,0,0,0
2024-10-21,980343.ZHBK,544.98,-90.82,6.06,2,0,0,0
2024-10-21,980348.ZHBK,510.72,85.12,0.0,2,0,0,0
2024-10-21,980340.ZHBK,496.53,248.26,0.0,2,0,0,0
2024-10-21,980355.ZHBK,485.42,40.76,-3.7,2,0,0,0
2024-10-21,980474.ZHBK,462.79,-225.97,3.62,2,1,0,0
2024-10-21,980365.ZHBK,442.66,-252.96,-2.35,2,1,0,0
