date,sellDate,trades,dailyReturnPct,equity,cumReturnPct
2026-03-02,2026-03-03,0,0.0,1.0,0.0
2026-03-03,2026-03-04,0,0.0,1.0,0.0
2026-03-04,2026-03-05,0,0.0,1.0,0.0
2026-03-05,2026-03-06,0,0.0,1.0,0.0
2026-03-06,2026-03-09,0,0.0,1.0,0.0
2026-03-09,2026-03-10,1,8.731884057971007,1.08731884057971,8.731884057971007
2026-03-10,2026-03-11,3,-1.7782080815499774,1.067984049084306,6.7984049084306
2026-03-11,2026-03-12,0,0.0,1.067984049084306,6.7984049084306
2026-03-12,2026-03-13,0,0.0,1.067984049084306,6.7984049084306
2026-03-13,2026-03-16,0,0.0,1.067984049084306,6.7984049084306
2026-03-16,2026-03-17,0,0.0,1.067984049084306,6.7984049084306
2026-03-17,2026-03-18,0,0.0,1.067984049084306,6.7984049084306
2026-03-18,2026-03-19,1,-12.270508947246107,0.936936970786255,-6.306302921374495
2026-03-19,2026-03-20,2,-4.259864025244664,0.8970247298285142,-10.297527017148578
2026-03-20,2026-03-23,0,0.0,0.8970247298285142,-10.297527017148578
2026-03-23,2026-03-24,0,0.0,0.8970247298285142,-10.297527017148578
2026-03-24,2026-03-25,3,-8.39488705536086,0.8217205169007545,-17.827948309924547
2026-03-25,2026-03-26,2,1.2987012987013102,0.8323922119254398,-16.760778807456024
2026-03-26,2026-03-27,0,0.0,0.8323922119254398,-16.760778807456024
2026-03-27,2026-03-30,0,0.0,0.8323922119254398,-16.760778807456024
2026-03-30,2026-03-31,1,3.6882393876130903,0.8630928293450977,-13.690717065490233
2026-03-31,2026-04-01,1,4.72906403940887,0.9039090419643733,-9.609095803562672
2026-04-01,2026-04-02,0,0.0,0.9039090419643733,-9.609095803562672
2026-04-02,2026-04-03,1,9.888059701492558,0.993288107681,-0.6711892319000046
2026-04-03,2026-04-07,2,5.029296875,1.0432435154403472,4.324351544034721
2026-04-07,2026-04-08,0,0.0,1.0432435154403472,4.324351544034721
2026-04-08,2026-04-09,1,-1.6666666666666607,1.0258561235163415,2.585612351634148
2026-04-09,2026-04-10,0,0.0,1.0258561235163415,2.585612351634148
2026-04-10,2026-04-13,0,0.0,1.0258561235163415,2.585612351634148
2026-04-13,2026-04-14,0,0.0,1.0258561235163415,2.585612351634148
2026-04-14,2026-04-15,1,-6.4166666666666705,0.9600303555907095,-3.9969644409290517
2026-04-15,2026-04-16,3,2.639076748954017,0.9853662934880043,-1.4633706511995692
2026-04-16,2026-04-17,2,-5.21739130434783,0.9339558781755867,-6.604412182441333
2026-04-17,2026-04-20,3,5.313242985029564,0.9835792233560222,-1.6420776643977786
2026-04-20,2026-04-21,0,0.0,0.9835792233560222,-1.6420776643977786
2026-04-21,2026-04-22,0,0.0,0.9835792233560222,-1.6420776643977786
2026-04-22,2026-04-23,0,0.0,0.9835792233560222,-1.6420776643977786
2026-04-23,2026-04-24,1,19.9530516431925,1.179833293743961,17.983329374396106
